C¢digo municipio; Nombre municipio; C¢digo Establecimiento; Nombre Establecimiento; C¢digo Sede; Nombre Sede; Zona; Direcci¢n; TelÇfono
76100;BOL÷VAR;276275001461;IE IDEBIC;276100001011;CACIQUE TUNAI;RURAL;COMUNIDAD EL CREMAL;2638651
76250;EL DOVIO;276275001461;IE IDEBIC;276250000796;CACIQUE TASCON;RURAL;COMUNIDA ALTO HERMOSO;2638651
76100;BOL÷VAR;276275001461;IE IDEBIC;276100001059;CACIQUE GUASIRUMA;RURAL;COMUNIDAD BUENAVISTA;2638651
76100;BOL÷VAR;276275001461;IE IDEBIC;276100001073;CACIQUE DOPARA;RURAL;COMUNIDAD RIO AZUL;2638651
76497;OBANDO;276275001461;IE IDEBIC;276497000659;KIMA DRUA;RURAL;COMUNID DE KIMA DRUA;2638651
76100;BOL÷VAR;276275001461;IE IDEBIC;276100001066;CACIQUE DOJABIDA;RURAL;COMUNIDAD RIO CLARO;2638651
76275;FLORIDA;276275000278;IE REGIONAL SIMON BOLIVAR;276275000049;PARROQUIAL;RURAL;SAN ANTONIO DE LOS CABALLEROS;2627442
76275;FLORIDA;276275000154;IE JOSE MARIA CORDOBA;276275001452;EL TAMBORAL;RURAL;VEREDA EL TAMBORAL;
76275;FLORIDA;276275000154;IE JOSE MARIA CORDOBA;276275001479;FABIO SOLANO GUTIERREZ;RURAL;PAZ DEL AGRADO;
76275;FLORIDA;276275000154;IE JOSE MARIA CORDOBA;276275000219;CAMILO TORRES;RURAL;CA•AS ARRIBA;
76275;FLORIDA;176275001393;IE ABSALON TORRES CAMACHO;176275001393;ABSALON TORRES CAMACHO;URBANA;CLL 8 NO 23-51;2.64139E+006
76275;FLORIDA;176275001393;IE ABSALON TORRES CAMACHO;176275000125;SAGRADO CORAZON DE JESUS;URBANA;CR 21 NO 9-89;2642660
76275;FLORIDA;176275000010;IE LAS AMERICAS;176275000281;ANTONIA SANTOS;URBANA;CR 18 CLL 5 ESQUINA;2642069
76306;GINEBRA;276306000174;IE MANUELA BELTRAN;276306000174;MANUELA BELTRAN;RURAL;CR 5 NO 8 - 30;2550411
76306;GINEBRA;276306000174;IE MANUELA BELTRAN;276306000409;ESTELIA QUINTERO;RURAL;VDA LA CECILIA;
76306;GINEBRA;276306000344;IE INMACULADA CONCEPCION;276306000140;GENERAL SANTANDER;RURAL;CGTO LA NOVILLERA;
76306;GINEBRA;176306000013;IE GINEBRA LA SALLE;276306000263;ANTONIO NARI•O;RURAL;CORREG LA FLORESTA;
76306;GINEBRA;176306000013;IE GINEBRA LA SALLE;176306000013;GINEBRA LA SALLE;URBANA;CR 1 NO 3-39;2561129
76318;GUACAR÷;276318000226;IE JOSE IGNACIO OSPINA;276318000226;JOSE IGNACIO OSPINA;RURAL;GUABITAS;
76318;GUACAR÷;276318000099;IE GENERAL SANTANDER;276318000102;ANTONIO NARI•O;RURAL;VDA EL TABLAZO;
76318;GUACAR÷;276318000099;IE GENERAL SANTANDER;276318000480;EFREN PEREA PEREZ;RURAL;VDA EL BOSQUE;
76318;GUACAR÷;176318000264;IE ESCUELA NORMAL SUPERIOR MIGUEL DE CERVANTES SAAVEDRA;176318000418;ANTONIA SANTOS;URBANA;CLL 3 NO 5-77;2531159
76377;LA CUMBRE;176377000251;IE SAN PIO X;276377000159;SIMON BOLIVAR;RURAL;VDA LA VENTURA.;
76377;LA CUMBRE;276377000078;IE FRANCISCO DE PAULA SANTANDER;276377000078;FRANCISCO DE PAULA SANTANDER;RURAL;CR 8 NO 3-35;2560205
76400;LA UNI‡N;276400000609;I.E. QUEBRADAGRANDE;276400000111;JOSE ACEVEDO Y GOMEZ;RURAL;CORREG QUEBRA GRANDE;2293767
76400;LA UNI‡N;276400000609;I.E. QUEBRADAGRANDE;276400000188;GUILLERMO VALENCIA;RURAL;VDA LA DESPENSA;2293767
76403;LA VICTORIA;176403000036;IE MANUEL ANTONIO BONILLA;176403000036;MANUEL ANTONIO BONILLA;URBANA;CLL 10 NO 3-40;2202111
76403;LA VICTORIA;276403000201;IE SAN JOSE;276403000090;ANTONIO NARI•O;RURAL;CORREG HOLGUIN;3128664846
76497;OBANDO;176497000093;IE SAN JOSE;176497000417;JOSE HILARIO LOPEZ;URBANA;IND CL 1 B 1 B 25 <EOF>;2.05378E+006
76563;PRADERA;276563000223;IE MARCO FIDEL SUAREZ;276563000576;SAN ANTONIO;RURAL;CGTO SAN ANTONIO;
76563;PRADERA;276563000223;IE MARCO FIDEL SUAREZ;276563000274;JOSE CESLESTINO MUTIS;RURAL;CORREG EL LIBANO;
76563;PRADERA;276563000223;IE MARCO FIDEL SUAREZ;276563000169;BLASS  DE LESSO;RURAL;CGTO POTRERITO;
76563;PRADERA;276563000045;I.E. MERCEDES ABREGO;276563000495;MANUEL JOSE RAMIREZ;RURAL;CORREG BOLO AZUL;
76563;PRADERA;276563000045;I.E. MERCEDES ABREGO;276563000720;SAN JULIAN;RURAL;CORREG BOLO BLANCO;
76563;PRADERA;176563000822;IE ALFREDO POSADA CORREA;176563000300;SAN JUAN BOSCO;URBANA;CR 9 NO 3-35;2.67414E+006
76563;PRADERA;176563000091;IE FRANCISCO ANTONIO ZEA;176563000016;FRANCISCO ANTONIO ZEA;URBANA;CRA 17 NO 5-61;
76563;PRADERA;176563000091;IE FRANCISCO ANTONIO ZEA;176563000091;ANTONIO RICAURTE;URBANA;CLL 7 NO 14-23;2674353
76563;PRADERA;176563000024;IE ATENEO;176563000032;ELOY SILVA;URBANA;CRA 12 Nß 10-37;2674449
76606;RESTREPO;276606000541;I.E. TEODORO MUNERA HINCAPIE;276606000541;I.E. TEODORO MUNERA HINCAPIE - SEDE PORINCIPAL;RURAL;VDA. SANTA ROSA;2.52279E+006
76606;RESTREPO;276606000541;I.E. TEODORO MUNERA HINCAPIE;276606000435;ISABEL NAGETH ARIZA;RURAL;VEREDA LOS HISPANOS;
76606;RESTREPO;276606000469;IE JULIO FERNANDEZ MEDINA;276606000222;MARCO FIDEL SUAREZ;RURAL;VEREDA SAN PABLO;
76606;RESTREPO;276606000469;IE JULIO FERNANDEZ MEDINA;276606000494;XX DE JULIO;RURAL;VEREDA RIO GRANDE;
76606;RESTREPO;276606000290;IE JOSE ACEVEDO Y GOMEZ;276606000362;JOSE MARIA CORDOBA;RURAL;VDA PLAYA RICA;3122605917
76606;RESTREPO;276606000290;IE JOSE ACEVEDO Y GOMEZ;276606000338;GUILLERMO LEON VALENCIA;RURAL;VDA MADRO•AL;3122605917
76606;RESTREPO;176606000163;IE JOSE FELIX RESTREPO;176606000198;GRAN COLOMBIA;URBANA;CR 13 NO 17-13;2522582
76616;RIOFR÷O;276616000654;IE ALFREDO GARRIDO TOVAR;276616000654;ALFREDO GARRIDO TOVAR;RURAL;CORREG PORTUGAL DE PIEDRAS;2260427
76616;RIOFR÷O;276616000654;IE ALFREDO GARRIDO TOVAR;276616000093;VERACRUZ;RURAL;CORREG. PORTUGAL DE PIEDRAS;2.26083e+006
76616;RIOFR÷O;276616000590;IE NEMESIO RODRIGUEZ ESCOBAR;276616000387;MARCOS FIDEL SUAREZ;RURAL;VDA SANTA RITA;2260043
76616;RIOFR÷O;276616000581;IE HERNANDO LLORENTE ARROYO;276616000166;MANUELA BELTRAN;RURAL;VDA LA TRINIDAD;2008020
76616;RIOFR÷O;176616000013;IE PRIMITIVO CRESPO;176616000013;PRIMITIVO CRESPO;URBANA;CLL 5 SALIDA A TULUA;2268196
76622;ROLDANILLO;276622000577;IE SANTA ROSALIA DE PALERMO;276622000577;BELISARIO PE•A PI•EIRO;RURAL;CORREG MORELIA;2595845
76622;ROLDANILLO;276622000577;IE SANTA ROSALIA DE PALERMO;276622000160;JOSEFITA PE•A;RURAL;CORREG MORELIA;
76622;ROLDANILLO;276622000577;IE SANTA ROSALIA DE PALERMO;276622000208;ANTONIA SANTOS;RURAL;CORREG PUERTO QUINTERO;
76622;ROLDANILLO;276622000305;CE RODRIGO LLOREDA CAICEDO;276622000283;MIGUEL ANTONIO CARO;RURAL;VDA. EL HOBO;
76622;ROLDANILLO;176622000076;IE NUESTRA SE•ORA DE CHIQUINQUIRA;176622000157;ELVIRA PE•A;URBANA;KR 5 10 34;2299028
76670;SAN PEDRO;276670000210;IE MIGUEL ANTONIO CARO;276670000503;JESÈS  DAVID GARCIA;RURAL;VDA LA PUENTE;2009623
76670;SAN PEDRO;176670000240;IE JOSE ANTONIO AGUILERA;176670000240;JOSE ANTONIO AGUILERA;URBANA;CRA 6 NO 6-77;2238370
76670;SAN PEDRO;176670000240;IE JOSE ANTONIO AGUILERA;276670000082;ALEJANDRO HENAO;RURAL;CGTO  LOS CHANCOS;
76736;SEVILLA;276736000488;IE JORGE ELIECER GAITAN;276736000488;JORGE ELIECER GAITAN;RURAL;CORREG LA  CUCHILLA;2.1961E+006
76736;SEVILLA;276736000488;IE JORGE ELIECER GAITAN;276736000585;CAMILO TORRES;RURAL;VDA PALMICHAL;
76736;SEVILLA;276736000321;IE MARIA AUXILIADORA;276736000321;MARIA AUXILIADORA;RURAL;VDA LA MELVA;2198182 3152679925
76736;SEVILLA;476736000258;IE HERACLIO URIBE URIBE;276736001522;ARTURO PIEDRAHITA;RURAL;VDA BAJO PIJAO;
76736;SEVILLA;476736000258;IE HERACLIO URIBE URIBE;276736000160;SANTA INES;RURAL;VDA EL CRUCERO;
76736;SEVILLA;276736000178;IE SANTA TERESITA;276736000453;SANTA MONICA;RURAL;VDA. LA IRLANDA;
76736;SEVILLA;276736000178;IE SANTA TERESITA;276736000313;COLOMBIA;RURAL;CORREG ALTO COLORADAS;2190636
76736;SEVILLA;276736000143;IE DOCE DE OCTUBRE;276736000143;DOCE DE OCTUBRE;RURAL;CORREG TOTORO;3113409366
76736;SEVILLA;176736000033;IE GENERAL SANTANDER;176736000084;HUGO TORO ECHEVERRY;URBANA;CR 47 NO 52 65;2196208
76823;TORO;176823000333;IE  TECNICA AGROPECUARIA TORO;276823000184;CAMILO TORRES;RURAL;VEREDA PAN DE ;2210560
76823;TORO;176823000066;IE FRAY JOSE JOAQUIN ESCOBAR;176823000040;SANTA  ANA;URBANA;CL 16 KR 1 Y 2;2210578
76828;TRUJILLO;276828000441;IE MANUEL MARIA MALLARINO;276828000158;CAMILO TORRES;RURAL;VDA LA LUISA;2267368
76828;TRUJILLO;276828000123;IE CRISTOBAL COLON;276828000352;ELOY HERNANDEZ;RURAL;VDA LA DEBORA;
76828;TRUJILLO;176828000064;IE SAGRADO CORAZON DE JESUS;176828000994;ALFONSO LOPEZ PUMAREJO;URBANA;CR 19 NO. 16-16;2.26713e+006
76828;TRUJILLO;176828000021;IE JULIAN TRUJILLO;176828000021;JULIAN TRUJILLO;URBANA;CR 18 NO 15-40;2267128/2266030
76845;ULLOA;276845000102;IE MARIA INMACULADA;276845000072;ONCE DE NOVIEMBRE;RURAL;VDA DINAMARCA;
76845;ULLOA;276845000102;IE MARIA INMACULADA;276845000099;LA SAGRADA FAMILIA;RURAL;VDA. EL PI•AL;
76863;VERSALLES;176863000336;IE LA INMACULADA;176863000336;LA INMACULADA;URBANA;CR 7 NO 7-20;2213038
76863;VERSALLES;176863000336;IE LA INMACULADA;276863000217;JOSê EUSEBIO CARO;RURAL;VDA EL HOYO;2213038
76863;VERSALLES;176863000336;IE LA INMACULADA;276863000241;FRANCISCO JOSE DE CALDAS;RURAL;VDA BATAMBAL;2213038
76869;VIJES;276869000138;IE ANTONIO JOSE DE SUCRE;276869000090;ANTONIO NARI•O;RURAL;CORREG EL TAMBOR;
76890;YOTOCO;276890000237;IE SAN JUAN BOSCO;276890000369;TAURINO IZQUIERDO;RURAL;VEREDA CAMPO ALEGRE;3154956242
76890;YOTOCO;276890000237;IE SAN JUAN BOSCO;276890000288;NTRA SRA DEL CARMEN;RURAL;VEREDA DOPO;3154956242
76890;YOTOCO;276890000091;IE GABRIELA MISTRAL;276890000091;GABRIELA MISTRAL;RURAL;CORREG PUENTE TIERRA;
76890;YOTOCO;276890000091;IE GABRIELA MISTRAL;276890000270;SANTO TOMAS DE AQUINO;RURAL;VEREDA MU•ECOS;
